,Unnamed: 0,id,label,taxid,rank,name
0,7469,VFG016628,1,42551,species,Malacoplasma penetrans
1,7273,VFG031691,1,34,genus,Mycobacterium
2,724,VFG000676,1,2,superkingdom,Bacteria
3,11873,gi|13449090|ref|NP_085306.1|,1,0,no rank,unclassified
4,5601,VFG045743,1,9364,species,Legionella longbeachae
5,7695,VFG041380,1,81672,species,Neorickettsia sennetsu
6,12745,gi|147674298|ref|YP_001218361.1|,1,66,species,Vibrio cholerae
7,4251,sp|P04772|GLNA2_BRADU,0,1263,species,Bradyrhizobium diazoefficiens
8,9050,sp|O34806|YTFJ_BACSU,0,122,species,Bacillus subtilis
9,2977,sp|Q51422|SYDND_PSEAE,0,3,phylum,Pseudomonadota
10,9929,sp|O00093|PHYA_EMENI,0,0,no rank,unclassified
11,2169,sp|O08374|SGAA_HYPME,0,115763,species,Hyphomicrobium B methylovorum
12,11930,sp|Q8DL31|NDHI_THEVB,0,57506,species,Thermosynechococcus vestitus
13,4611,VFG000282,1,0,no rank,unclassified
14,7523,sp|Q09772|RDH54_SCHPO,0,174560,species,UBA36 sp002683155
15,457,VFG038733,1,269,species,Aeromonas veronii
16,12125,sp|Q7NU26|ASTE_CHRVO,0,2927,species,Chromobacterium violaceum
17,12595,sp|Q2SYZ1|PANB_BURTA,0,1337,species,Burkholderia thailandensis
18,5945,sp|O30583|COMP_ACIAD,0,4343,species,Acinetobacter baylyi
19,2916,sp|P94421|YCLQ_BACSU,0,122,species,Bacillus subtilis
20,5925,sp|P05648|DNAA_BACSU,0,107,genus,Bacillus
21,1175,VFG018738,1,28145,species,Bartonella tribocorum
22,8974,VFG019730,1,4415,species,Pseudomonas E petroselini
23,7545,sp|L7WU90|NOTO_ASPVE,0,0,no rank,unclassified
24,2503,VFG051371,1,1049,genus,Chlamydophila
25,10072,VFG001807,1,173,species,Staphylococcus pseudintermedius
26,1115,sp|A0A5Q0QNJ2|AGR2_CYCAE,0,2,superkingdom,Bacteria
27,1123,VFG016776,1,1735,genus,Bartonella
28,6750,VFG023327,1,67,species,Mycobacterium abscessus
29,11546,sp|O87712|DNAK_COXBU,0,698,genus,Coxiella
30,12421,gi|23502758|ref|NP_698885.1|,1,99,species,Brucella melitensis
31,248,sp|Q12161|PSH1_YEAST,0,25966,species,Endozoicomonas A sp040549045
32,3852,sp|P35194|UTP20_YEAST,0,0,no rank,unclassified
33,4176,sp|P03218|BILF2_EBVB9,0,0,no rank,unclassified
34,12807,sp|Q4WXX5|ASF1_ASPFU,0,12001,species,Microbacterium arborescens
35,8566,VFG015198,1,286,species,Pseudomonas E avellanae
36,2112,VFG012000,1,1271,species,Campylobacter fetus
37,7344,VFG002031,1,363,species,Mycoplasmoides pneumoniae
38,7902,sp|B3PEE6|OL4AG_CELJU,0,24711,species,Cellvibrio japonicus
39,8645,VFG015320,1,701,species,Pseudomonas E fragariae
40,36,sp|P00962|SYQ_ECOLI,0,6,family,Enterobacteriaceae
41,4012,VFG042718,1,109118,species,Nanosynbacter sp029975625
42,6863,VFG024803,1,941,species,Mycobacterium marinum
43,7429,sp|Q6A6N7|RL24_CUTAK,0,217,species,Cutibacterium acnes
44,4212,VFG046622,1,1656,species,Francisella philomiragia
45,9855,VFG041106,1,18,species,Salmonella enterica
46,4465,VFG013234,1,2939,species,Haemophilus B ducreyi
47,3974,VFG042546,1,6,family,Enterobacteriaceae
48,4169,sp|O74942|CYP9_SCHPO,0,2,superkingdom,Bacteria
49,4756,sp|P87236|MU154_SCHPO,0,0,no rank,unclassified
50,9463,VFG042054,1,6161,species,Ralstonia pseudosolanacearum
51,11064,VFG007436,1,66,species,Vibrio cholerae
52,9509,sp|P53048|MAL11_YEAST,0,2918,species,Arctic96AD-7 sp002685535
53,92,VFG037949,1,3798,species,Acinetobacter sp003410005
54,5399,sp|Q06583|PYS1_PSEAI,0,22,species,Pseudomonas aeruginosa
55,2194,VFG018009,1,50,genus,Campylobacter D
56,7147,VFG030400,1,34,genus,Mycobacterium
57,12136,gi|16802309|ref|NP_463794.1|,1,55,genus,Listeria
58,9733,VFG004280,1,18,species,Salmonella enterica
59,8678,sp|P35183|AST1_YEAST,0,2,superkingdom,Bacteria
60,8207,sp|Q8YQ14|IACT_NOSS1,0,1431,order,Cyanobacteriales
61,12444,gi|17986474|ref|NP_539108.1|,1,95,class,Alphaproteobacteria
62,3022,sp|P23660|GUNA_RUMAL,0,21058,species,Hominimerdicola alba A
63,7439,sp|P74207|LEUD_SYNY3,0,5353,species,Synechocystis sp000284455
64,4436,VFG013194,1,1528,species,Histophilus somni
65,568,sp|P57079|RS21_MYCPN,0,363,species,Mycoplasmoides pneumoniae
66,131,VFG038015,1,24,genus,Acinetobacter
67,10746,VFG000101,1,66,species,Vibrio cholerae
68,9441,sp|P30572|CHS2_CANAX,0,126987,species,UBA4466 sp018402525
69,8661,sp|P0DSH0|YRIB_ECOLI,0,0,no rank,unclassified
70,737,VFG016263,1,90,species,Bacillus A cereus
71,8616,VFG015277,1,701,species,Pseudomonas E fragariae
72,13643,gi|68472223|ref|XP_719907.1|,1,2,superkingdom,Bacteria
73,4234,VFG046873,1,141,genus,Francisella
74,9919,VFG043062,1,18,species,Salmonella enterica
75,566,sp|Q3S2Y1|GTFB_STRAG,0,28,genus,Streptococcus
76,1949,VFG001940,1,46981,species,Campylobacter D sp003627915
77,8748,sp|Q9RXJ0|RL5_DEIRA,0,5300,species,Deinococcus radiodurans
78,7508,sp|O34674|MURJ_BACSU,0,107,genus,Bacillus
79,2535,VFG051440,1,1049,genus,Chlamydophila
80,13310,gi|33592924|ref|NP_880568.1|,1,94,species,Bordetella pertussis
81,13741,sp|P10908|UGPQ_ECOLI,0,7,genus,Escherichia
82,6963,sp|P9WPX9|AROB_MYCTU,0,35,species,Mycobacterium tuberculosis
83,1414,VFG011344,1,2997,species,Bordetella avium
84,8979,VFG019741,1,4415,species,Pseudomonas E petroselini
85,1594,VFG002448,1,70,species,Burkholderia mallei
86,5980,VFG008322,1,20588,species,Mycobacterium gilvum
87,754,VFG016320,1,186,species,Bacillus A anthracis
88,5205,sp|Q56815|ALF_XANFL,0,10334,genus,Xanthobacter
89,12049,gi|15646095|ref|NP_208277.1|,1,180,genus,Helicobacter
90,11931,gi|15607555|ref|NP_214928.1|,1,35,species,Mycobacterium tuberculosis
91,6391,VFG017488,1,31,class,Actinomycetes
92,9875,sp|A0QSB9|MFTD_MYCS2,0,1462,species,Mycobacterium smegmatis
93,13516,gi|116054099|ref|YP_788542.1|,1,22,species,Pseudomonas aeruginosa
94,11006,VFG007292,1,66,species,Vibrio cholerae
95,7308,sp|P38079|YRO2_YEAST,0,370,genus,Flavobacterium
96,13174,sp|P39270|YJDF_ECOLI,0,7,genus,Escherichia
97,8847,sp|P32099|LPLA_ECOLI,0,8,species,Escherichia coli
98,14332,fig|83332.12.peg.2165|Rv1937|VBIMycTub87468_2165|,1,2,superkingdom,Bacteria
99,6551,VFG022237,1,35,species,Mycobacterium tuberculosis
100,5806,sp|O25711|ATGTP_HELPY,0,180,genus,Helicobacter
101,3133,sp|Q794W0|YYCH_BACSU,0,122,species,Bacillus subtilis
102,12291,sp|Q2SWM4|KTHY_BURTA,0,1337,species,Burkholderia thailandensis
103,10288,sp|Q8GBW6|12S_PROFR,0,970,species,Propionibacterium freudenreichii
104,8650,sp|A7ZI10|ZORA_ECO24,0,6,family,Enterobacteriaceae
105,1029,VFG050187,1,2,superkingdom,Bacteria
106,4054,VFG043072,1,8,species,Escherichia coli
107,12040,sp|Q2KBP7|BIOY_RHIEC,0,546,genus,Rhizobium
108,7891,VFG044292,1,86,species,Proteus mirabilis
109,8543,VFG015070,1,20,family,Pseudomonadaceae
110,3522,sp|P40037|HMF1_YEAST,0,2,superkingdom,Bacteria
111,2516,VFG051388,1,164466,species,Chlamydophila felis
112,3626,sp|O25581|Y924_HELPY,0,180,genus,Helicobacter
113,4108,VFG043693,1,6,family,Enterobacteriaceae
114,4829,VFG043623,1,6,family,Enterobacteriaceae
115,7105,VFG030047,1,67,species,Mycobacterium abscessus
116,12609,sp|Q00618|PGTA_YEAST,0,0,no rank,unclassified
117,6919,VFG027835,1,67,species,Mycobacterium abscessus
118,3178,VFG041798,1,4523,species,Nitratidesulfovibrio vulgaris
119,3740,VFG035419,1,6,family,Enterobacteriaceae
120,3338,VFG042986,1,39,genus,Enterococcus B
121,4388,VFG013117,1,1528,species,Histophilus somni
122,9455,VFG042046,1,384,species,Ralstonia nicotianae
123,12347,sp|P08813|FER1_DESVM,0,82216,species,Halodesulfovibrio mangrovi
124,1355,sp|P23673|CTFB_CLOAB,0,4934,species,Clostridium S acetobutylicum
125,3142,sp|Q2G1C1|TARF_STAA8,0,16,species,Staphylococcus aureus
126,11446,VFG042946,1,456,species,Xylella fastidiosa
127,7732,VFG042254,1,1789,species,Pantoea stewartii
128,1718,sp|Q92R43|AQPS_RHIME,0,350,species,Sinorhizobium meliloti
129,12935,gi|16767679|ref|NP_463294.1|,1,18,species,Salmonella enterica
130,12945,sp|P87128|EIF3J_SCHPO,0,0,no rank,unclassified
131,10937,VFG007176,1,59,species,Vibrio parahaemolyticus
132,2235,VFG045341,1,51,species,Campylobacter D jejuni
133,9722,sp|P29929|COBN_SINSX,0,2,superkingdom,Bacteria
134,11448,VFG042948,1,456,species,Xylella fastidiosa
135,283,VFG038336,1,10703,species,Aeromonas sobria A
136,2684,sp|C8V329|FCY2_EMENI,0,2,superkingdom,Bacteria
137,5927,VFG008093,1,941,species,Mycobacterium marinum
138,10791,VFG006905,1,58,genus,Vibrio
139,735,VFG016254,1,90,species,Bacillus A cereus
140,13346,gi|126209031|ref|YP_001054256.1|,1,205,family,Pasteurellaceae
141,5032,sp|Q8RJB2|BZRD_BACCE,0,33003,species,Bacillus A cereus AQ
142,11883,gi|15840045|ref|NP_335082.1|,1,35,species,Mycobacterium tuberculosis
143,10421,VFG005362,1,28,genus,Streptococcus
144,261,VFG038299,1,269,species,Aeromonas veronii
145,13864,sp|Q9XDN3|PDUN_SALTY,0,18,species,Salmonella enterica
146,6290,sp|Q874I4|PYRD_CANAL,0,2,superkingdom,Bacteria
147,9434,VFG042023,1,384,species,Ralstonia nicotianae
148,11378,VFG041931,1,199,genus,Xanthomonas
149,5042,sp|P0DW70|DTCC_VIBAL,0,5,order,Enterobacterales
150,4172,sp|Q4FQF7|HIS1_PSYA2,0,44347,species,Psychrobacter arcticus
151,414,VFG038599,1,366,species,Aeromonas hydrophila
152,5910,sp|A0A2T5Y4G4|CAP12_SPHFK,0,17166,species,Sphingobacterium faecium
153,11798,VFG042315,1,153,species,Yersinia pestis
154,3961,sp|A6M2W4|IMAND_CLOB8,0,119632,species,Clostridium sp963524945
155,13950,gi|401427037|ref|XP_003878002.1|,1,2,superkingdom,Bacteria
156,9784,sp|A0R211|WECA_MYCS2,0,1462,species,Mycobacterium smegmatis
157,4821,VFG040967,1,109,species,Klebsiella variicola
158,7096,VFG029995,1,1462,species,Mycobacterium smegmatis
159,8288,VFG014271,1,76,genus,Pseudomonas E
160,2847,sp|P9WNW1|DNAG_MYCTU,0,34,genus,Mycobacterium
161,443,sp|P81340|CYSK_CLOPA,0,0,no rank,unclassified
162,9658,VFG000537,1,18,species,Salmonella enterica
163,1749,VFG026255,1,1337,species,Burkholderia thailandensis
164,14203,fig|216594.6.peg.2436|MMAR_2284|VBIMycMar75906_2436|,1,941,species,Mycobacterium marinum
