,id,label
7469,VFG016628,1
7273,VFG031691,1
724,VFG000676,1
11873,gi|13449090|ref|NP_085306.1|,1
5601,VFG045743,1
7695,VFG041380,1
12745,gi|147674298|ref|YP_001218361.1|,1
4251,sp|P04772|GLNA2_BRADU,0
9050,sp|O34806|YTFJ_BACSU,0
2977,sp|Q51422|SYDND_PSEAE,0
9929,sp|O00093|PHYA_EMENI,0
2169,sp|O08374|SGAA_HYPME,0
11930,sp|Q8DL31|NDHI_THEVB,0
4611,VFG000282,1
7523,sp|Q09772|RDH54_SCHPO,0
457,VFG038733,1
12125,sp|Q7NU26|ASTE_CHRVO,0
12595,sp|Q2SYZ1|PANB_BURTA,0
5945,sp|O30583|COMP_ACIAD,0
2916,sp|P94421|YCLQ_BACSU,0
5925,sp|P05648|DNAA_BACSU,0
1175,VFG018738,1
8974,VFG019730,1
7545,sp|L7WU90|NOTO_ASPVE,0
2503,VFG051371,1
10072,VFG001807,1
1115,sp|A0A5Q0QNJ2|AGR2_CYCAE,0
1123,VFG016776,1
6750,VFG023327,1
11546,sp|O87712|DNAK_COXBU,0
12421,gi|23502758|ref|NP_698885.1|,1
248,sp|Q12161|PSH1_YEAST,0
3852,sp|P35194|UTP20_YEAST,0
4176,sp|P03218|BILF2_EBVB9,0
12807,sp|Q4WXX5|ASF1_ASPFU,0
8566,VFG015198,1
2112,VFG012000,1
7344,VFG002031,1
7902,sp|B3PEE6|OL4AG_CELJU,0
8645,VFG015320,1
36,sp|P00962|SYQ_ECOLI,0
4012,VFG042718,1
6863,VFG024803,1
7429,sp|Q6A6N7|RL24_CUTAK,0
4212,VFG046622,1
9855,VFG041106,1
4465,VFG013234,1
3974,VFG042546,1
4169,sp|O74942|CYP9_SCHPO,0
4756,sp|P87236|MU154_SCHPO,0
9463,VFG042054,1
11064,VFG007436,1
9509,sp|P53048|MAL11_YEAST,0
92,VFG037949,1
5399,sp|Q06583|PYS1_PSEAI,0
2194,VFG018009,1
7147,VFG030400,1
12136,gi|16802309|ref|NP_463794.1|,1
9733,VFG004280,1
8678,sp|P35183|AST1_YEAST,0
8207,sp|Q8YQ14|IACT_NOSS1,0
12444,gi|17986474|ref|NP_539108.1|,1
3022,sp|P23660|GUNA_RUMAL,0
7439,sp|P74207|LEUD_SYNY3,0
4436,VFG013194,1
568,sp|P57079|RS21_MYCPN,0
131,VFG038015,1
10746,VFG000101,1
9441,sp|P30572|CHS2_CANAX,0
8661,sp|P0DSH0|YRIB_ECOLI,0
737,VFG016263,1
8616,VFG015277,1
13643,gi|68472223|ref|XP_719907.1|,1
4234,VFG046873,1
9919,VFG043062,1
566,sp|Q3S2Y1|GTFB_STRAG,0
1949,VFG001940,1
8748,sp|Q9RXJ0|RL5_DEIRA,0
7508,sp|O34674|MURJ_BACSU,0
2535,VFG051440,1
13310,gi|33592924|ref|NP_880568.1|,1
13741,sp|P10908|UGPQ_ECOLI,0
6963,sp|P9WPX9|AROB_MYCTU,0
1414,VFG011344,1
8979,VFG019741,1
1594,VFG002448,1
5980,VFG008322,1
754,VFG016320,1
5205,sp|Q56815|ALF_XANFL,0
12049,gi|15646095|ref|NP_208277.1|,1
11931,gi|15607555|ref|NP_214928.1|,1
6391,VFG017488,1
9875,sp|A0QSB9|MFTD_MYCS2,0
13516,gi|116054099|ref|YP_788542.1|,1
11006,VFG007292,1
7308,sp|P38079|YRO2_YEAST,0
13174,sp|P39270|YJDF_ECOLI,0
8847,sp|P32099|LPLA_ECOLI,0
14332,fig|83332.12.peg.2165|Rv1937|VBIMycTub87468_2165|,1
6551,VFG022237,1
5806,sp|O25711|ATGTP_HELPY,0
3133,sp|Q794W0|YYCH_BACSU,0
12291,sp|Q2SWM4|KTHY_BURTA,0
10288,sp|Q8GBW6|12S_PROFR,0
8650,sp|A7ZI10|ZORA_ECO24,0
1029,VFG050187,1
4054,VFG043072,1
12040,sp|Q2KBP7|BIOY_RHIEC,0
7891,VFG044292,1
8543,VFG015070,1
3522,sp|P40037|HMF1_YEAST,0
2516,VFG051388,1
3626,sp|O25581|Y924_HELPY,0
4108,VFG043693,1
4829,VFG043623,1
7105,VFG030047,1
12609,sp|Q00618|PGTA_YEAST,0
6919,VFG027835,1
3178,VFG041798,1
3740,VFG035419,1
3338,VFG042986,1
4388,VFG013117,1
9455,VFG042046,1
12347,sp|P08813|FER1_DESVM,0
1355,sp|P23673|CTFB_CLOAB,0
3142,sp|Q2G1C1|TARF_STAA8,0
11446,VFG042946,1
7732,VFG042254,1
1718,sp|Q92R43|AQPS_RHIME,0
12935,gi|16767679|ref|NP_463294.1|,1
12945,sp|P87128|EIF3J_SCHPO,0
10937,VFG007176,1
2235,VFG045341,1
9722,sp|P29929|COBN_SINSX,0
11448,VFG042948,1
283,VFG038336,1
2684,sp|C8V329|FCY2_EMENI,0
5927,VFG008093,1
10791,VFG006905,1
735,VFG016254,1
13346,gi|126209031|ref|YP_001054256.1|,1
5032,sp|Q8RJB2|BZRD_BACCE,0
11883,gi|15840045|ref|NP_335082.1|,1
10421,VFG005362,1
261,VFG038299,1
13864,sp|Q9XDN3|PDUN_SALTY,0
6290,sp|Q874I4|PYRD_CANAL,0
9434,VFG042023,1
11378,VFG041931,1
5042,sp|P0DW70|DTCC_VIBAL,0
4172,sp|Q4FQF7|HIS1_PSYA2,0
414,VFG038599,1
5910,sp|A0A2T5Y4G4|CAP12_SPHFK,0
11798,VFG042315,1
3961,sp|A6M2W4|IMAND_CLOB8,0
13950,gi|401427037|ref|XP_003878002.1|,1
9784,sp|A0R211|WECA_MYCS2,0
4821,VFG040967,1
7096,VFG029995,1
8288,VFG014271,1
2847,sp|P9WNW1|DNAG_MYCTU,0
443,sp|P81340|CYSK_CLOPA,0
9658,VFG000537,1
1749,VFG026255,1
14203,fig|216594.6.peg.2436|MMAR_2284|VBIMycMar75906_2436|,1
508,sp|P39103|COX14_YEAST,0
7741,sp|Q6N4U4|RL14_RHOPA,0
13623,sp|Q46WL3|HIS82_CUPPJ,0
12788,sp|P33905|TRAR_RHIRD,0
11747,sp|O13779|YF2E_SCHPO,0
11410,sp|A2R6M7|NIT1_ASPNC,0
3847,sp|P18769|FRZE_MYXXA,0
10234,sp|A0A140NDS5|YAFV_ECOBD,0
9431,sp|P0AB10|PQIC_ECOLI,0
10743,VFG000098,1
3480,VFG000847,1
9162,sp|Q8DUY3|TCMPB_STRMU,0
8624,sp|Q141E8|PDXY_PARXL,0
1783,sp|P00149|CYCP_RHOPA,0
5746,sp|Q9KIT1|FLR_MEGG1,0
4507,sp|P16385|THTR_SACER,0
2121,sp|H9T8G7|CDII9_BURPE,0
11168,sp|P9WF33|XERD_MYCTU,0
7483,VFG016644,1
6503,sp|P63488|GATA_STAAM,0
3942,sp|Q9UTI3|ARD1_SCHPO,0
7539,VFG000268,1
4537,sp|P9WI45|PPE03_MYCTU,0
6423,VFG021821,1
3964,VFG042536,1
5165,VFG002106,1
9165,sp|P38527|RHO_THEMA,0
12322,gi|24115526|ref|NP_710036.1|,1
7155,sp|P07883|AGAR_STRCO,0
13567,sp|Q9WYG7|PYRF_THEMA,0
3443,VFG044340,1
213,VFG050902,1
7461,VFG016620,1
1015,VFG050114,1
557,VFG042285,1
10765,VFG002085,1
2045,VFG011788,1
12278,sp|Q7A5M6|Y1261_STAAN,0
5757,VFG043479,1
3874,VFG042338,1
1063,VFG002251,1
6804,VFG024200,1
12634,sp|Q5KY26|GLSA_GEOKA,0
5282,sp|P38928|AXL2_YEAST,0
12550,gi|54294527|ref|YP_126942.1|,1
4372,sp|P40465|CSM2_YEAST,0
7187,sp|P0AFY8|SEQA_ECOLI,0
4184,sp|Q0CBN5|PNGA_ASPTN,0
9491,VFG040067,1
8610,VFG015268,1
12109,gi|89256750|ref|YP_514112.1|,1
2039,VFG011776,1
11389,VFG041942,1
2995,sp|U2PSH1|CS13A_LEPWF,0
14218,fig|216597.6.peg.4379|SL1344_3934|VBISalEnt88447_4379|,1
4744,sp|Q5LS56|ACUI_RUEPO,0
1254,VFG000036,1
11752,VFG023613,1
9043,VFG020065,1
6067,sp|A8H392|Y1705_SHEPA,0
10974,sp|Q7S1X0|GCE_NEUCR,0
3233,sp|Q9L543|AMIE_BACSP,0
7807,sp|Q5SKN9|LCFCS_THET8,0
1651,sp|P0AFE8|NUOM_ECOLI,0
13739,sp|P35809|XYNA_SCHCO,0
9449,sp|P09627|PMA1_SCHPO,0
9629,VFG000499,1
7632,sp|P53203|PEX31_YEAST,0
11338,VFG052342,1
10559,VFG005949,1
4888,VFG048809,1
12835,gi|16764228|ref|NP_459843.1|,1
1505,sp|P20099|BISC_ECOLI,0
10444,VFG005432,1
633,sp|Q883R9|THRH_PSESM,0
11565,sp|Q99314|SAS5_YEAST,0
10694,sp|P54511|LIPM_BACSU,0
9903,VFG043033,1
10043,VFG042175,1
14157,fig|169963.11.peg.2087|lmo2039|VBILisMon69206_2087|,1
13915,sp|Q9KNM4|KGUA_VIBCH,0
7812,sp|P27711|FIB_SPICI,0
10452,VFG005490,1
8430,sp|P36632|RAD26_SCHPO,0
10955,VFG007195,1
2941,VFG013744,1
10128,VFG004621,1
8928,VFG016127,1
8322,VFG014323,1
485,VFG038804,1
8408,sp|P40075|SCS2_YEAST,0
5307,VFG041290,1
13193,sp|Q03180|PIR3_YEAST,0
3025,sp|Q00002|PDI_ALTAL,0
2254,VFG002152,1
8458,sp|P33749|MSN4_YEAST,0
8725,sp|Q46871|YQJH_ECOLI,0
2633,sp|A0QSD7|RS3_MYCS2,0
7087,sp|P40570|VLD1_YEAST,0
6716,sp|O59675|RS9B_SCHPO,0
10719,sp|P0DSE4|ARGL_ECOLI,0
10085,VFG001301,1
11952,sp|P43571|BST1_YEAST,0
1111,sp|P32830|TIM12_YEAST,0
8055,sp|P0A0D6|PTLA_STAAU,0
10183,sp|A0QU63|SSRP_MYCS2,0
13353,sp|A0A7L9EZZ4|XENG_XENSI,0
2798,sp|P0AFM4|PSIF_ECOLI,0
512,VFG038863,1
6364,VFG010391,1
10105,VFG004513,1
4432,VFG013190,1
3545,sp|O13298|PHD1_SCHPO,0
6968,VFG029160,1
1248,VFG000030,1
1253,VFG000035,1
13734,sp|A0A0H2ZF87|TRMJ_PSEAB,0
2754,VFG012090,1
11546,VFG002334,1
5724,VFG043275,1
