Unnamed: 0,id,label,target_id,pred_label,fident,bitscore,evalue,score
0,VFG016628,1,VFG016624,1.0,0.695,649.0,3.9869999999999996e-187,0.09466161026837806
1,VFG031691,1,VFG031678,1.0,0.888,1195.0,0.0,0.17429988331388566
2,VFG000676,1,VFG050111,1.0,0.539,504.0,1.285e-142,0.073512252042007
3,gi|13449090|ref|NP_085306.1|,1,P52644,0.0,0.671,247.0,3.4139999999999996e-66,0.03602683780630105
4,VFG045743,1,VFG001842,1.0,0.865,356.0,6.474e-101,0.051925320886814466
5,VFG041380,1,VFG041379,1.0,0.858,325.0,7.892e-92,0.04740373395565928
6,gi|147674298|ref|YP_001218361.1|,1,Q7A695,0.0,0.818,1084.0,0.0,0.15810968494749125
7,sp|P04772|GLNA2_BRADU,0,P32288,0.0,0.696,699.0,2.014e-202,0.10195449241540257
8,sp|O34806|YTFJ_BACSU,0,NP_217888.1,1.0,0.775,106.0,2.0189999999999998e-23,0.015460910151691949
9,sp|Q51422|SYDND_PSEAE,0,O84546,0.0,0.852,1656.0,0.0,0.24154025670945156
10,sp|O00093|PHYA_EMENI,0,D4ANW6,0.0,0.839,1110.0,0.0,0.16190198366394398
11,sp|O08374|SGAA_HYPME,0,A1B8Z3,0.0,0.974,1518.0,0.0,0.22141190198366395
12,sp|Q8DL31|NDHI_THEVB,0,P26525,0.0,0.861,506.0,1.145e-145,0.07380396732788798
13,VFG000282,1,P37542,0.0,0.852,159.0,6.825999999999999e-39,0.023191365227537925
14,sp|Q09772|RDH54_SCHPO,0,P38086,0.0,0.729,1586.0,0.0,0.23133022170361728
15,VFG038733,1,VFG038732,1.0,0.824,735.0,1.778e-214,0.10720536756126021
16,sp|Q7NU26|ASTE_CHRVO,0,P76215,0.0,0.856,944.0,1.6819999999999999e-279,0.13768961493582263
17,sp|Q2SYZ1|PANB_BURTA,0,P31057,0.0,0.923,882.0,5.094e-265,0.12864644107351225
18,sp|O30583|COMP_ACIAD,0,VFG000111,1.0,0.684,271.0,9.728e-74,0.03952742123687281
19,sp|P94421|YCLQ_BACSU,0,VFG044411,1.0,0.905,1042.0,1.434e-314,0.15198366394399065
20,sp|P05648|DNAA_BACSU,0,O83047,0.0,0.876,1320.0,0.0,0.19253208868144692
21,VFG018738,1,VFG002232,1.0,0.82,258.0,1.044e-70,0.03763127187864644
22,VFG019730,1,VFG013791,1.0,0.942,1326.0,0.0,0.19340723453908984
23,sp|L7WU90|NOTO_ASPVE,0,O05390,0.0,0.603,722.0,6.292e-209,0.10530921820303384
24,VFG051371,1,VFG051389,1.0,0.766,2111.0,0.0,0.3079054842473746
25,VFG001807,1,VFG001808,1.0,0.615,377.0,4.317e-105,0.05498833138856476
26,sp|A0A5Q0QNJ2|AGR2_CYCAE,0,A0A0C3FBR2,0.0,0.872,936.0,3.146e-274,0.13652275379229872
27,VFG016776,1,VFG041718,1.0,0.83,1194.0,0.0,0.17415402567094515
28,VFG023327,1,VFG022046,1.0,0.878,1371.0,0.0,0.1999708284714119
29,sp|O87712|DNAK_COXBU,0,YP_001652945.1,1.0,0.904,2028.0,0.0,0.2957992998833139
30,gi|23502758|ref|NP_698885.1|,1,A0QV42,0.0,0.877,318.0,3.9879999999999997e-88,0.04638273045507585
31,sp|Q12161|PSH1_YEAST,0,P10862,0.0,0.737,178.0,7.451e-45,0.025962660443407233
32,sp|P35194|UTP20_YEAST,0,P33892,0.0,0.533,1916.0,0.0,0.279463243873979
33,sp|P03218|BILF2_EBVB9,0,Q6SWB9,0.0,0.646,402.0,9.549e-113,0.05863477246207701
34,sp|Q4WXX5|ASF1_ASPFU,0,VFG005922,1.0,0.719,223.0,1.5940000000000002e-58,0.032526254375729285
