Q805R1	148626	species	Pyruvatibacter sp040219635
Q6CLZ2	0	no rank	unclassified
VFG032545	2578	species	Listeria ivanovii
O66891	121469	species	Aquifex aeolicus
A1DN09	2	superkingdom	Bacteria
P21179	4	class	Gammaproteobacteria
P25539	62113	species	Escherichia sp002965065
VFG044189	3638	species	Bartonella quintana
P11931	12	class	Bacilli
A0QQ70	1462	species	Mycobacterium smegmatis
Q6FF51	4343	species	Acinetobacter baylyi
NP_289141.1	7	genus	Escherichia
Q9KK62	156	genus	Bifidobacterium
P9WM83	35	species	Mycobacterium tuberculosis
VFG018001	3051	species	Campylobacter D sp016598935
YP_444107.1	2	superkingdom	Bacteria
Q9C108	0	no rank	unclassified
VFG002532	70	species	Burkholderia mallei
VFG041157	4413	species	Burkholderia seminalis
VFG014120	20	family	Pseudomonadaceae
Q7A6H4	14	family	Staphylococcaceae
P40546	0	no rank	unclassified
Q04585	2	superkingdom	Bacteria
O13672	1	no rank	root
VFG000535	18	species	Salmonella enterica
Q1K8V2	2	superkingdom	Bacteria
VFG043261	55	genus	Listeria
Q725I2	4523	species	Nitratidesulfovibrio vulgaris
VFG002258	1736	species	Bartonella henselae
VFG007307	58	genus	Vibrio
VFG003496	152	genus	Yersinia
VFG036614	63	genus	Neisseria
Q89E06	1263	species	Bradyrhizobium diazoefficiens
VFG048237	10	species	Klebsiella pneumoniae
P18079	10201	species	Rhodobacter capsulatus B
Q2YQ73	98	genus	Brucella
Q04677	79	class	Bacteroidia
P84675	0	no rank	unclassified
P32361	1	no rank	root
VFG015329	76	genus	Pseudomonas E
Q7RVX9	2918	species	Arctic96AD-7 sp002685535
VFG002285	146	species	Sarcina perfringens
O31429	122	species	Bacillus subtilis
VFG051922	76	genus	Pseudomonas E
P0A9C3	2192	species	Escherichia sp005843885
VFG043608	28	genus	Streptococcus
Q0K4F5	10824	species	Cupriavidus necator D
YP_003057480.1	1376	species	Helicobacter pylori CV
VFG038428	117331	species	Aeromonas cavernicola
P60932	7	genus	Escherichia
Q7NFT5	2	superkingdom	Bacteria
VFG041024	22	species	Pseudomonas aeruginosa
P29915	483	family	Rhodobacteraceae
P38264	133695	species	Herbiconiux daphnes
P46973	0	no rank	unclassified
P9WFC7	32	order	Mycobacteriales
Q5P603	33198	species	Aromatoleum aromaticum
S0EA85	0	no rank	unclassified
NP_461038.1	18	species	Salmonella enterica
VFG043381	180	genus	Helicobacter
Q55385	5353	species	Synechocystis sp000284455
XP_002370815.1	0	no rank	unclassified
P54941	122	species	Bacillus subtilis
Q8Y441	55	genus	Listeria
VFG045763	9364	species	Legionella longbeachae
O36027	0	no rank	unclassified
P18952	169	genus	Serratia
P37292	1	no rank	root
VFG042477	0	no rank	unclassified
P36053	0	no rank	unclassified
VFG038577	269	species	Aeromonas veronii
VFG001001	640	species	Escherichia marmotae
VFG002230	99	species	Brucella melitensis
A0A2K4Z9G8	107	genus	Bacillus
YP_001600120.1	63	genus	Neisseria
P42461	1252	species	Corynebacterium glutamicum
NP_273832.1	2248	species	Neisseria lactamica
VFG045499	128	species	Legionella pneumophila
P53824	1	no rank	root
VFG026324	11828	species	Burkholderia sp902832865
O07535	122	species	Bacillus subtilis
P0AER0	7	genus	Escherichia
VFG016292	261	species	Bacillus licheniformis
P0DM85	7	genus	Escherichia
Q9WT35	0	no rank	unclassified
P0DOY7	2334	species	Thermus thermophilus
Q12060	0	no rank	unclassified
Q6FU96	1	no rank	root
